fund_id,fonds,veld,oud,nieuw
88,Delta Lloyd,deelnemers_totaal,,11899
88,Delta Lloyd,deelnemers_gepensioneerd,,4589
88,Delta Lloyd,deelnemers_slapers,,6040
88,Delta Lloyd,deelnemers_actief,,1270
89,DHL Nederland,deelnemers_gepensioneerd,4958,5081
89,DHL Nederland,deelnemers_slapers,8147,7982
89,DHL Nederland,deelnemers_actief,2989,3031
91,DSM Nederland,deelnemers_totaal,26646,26345
91,DSM Nederland,deelnemers_slapers,8382,8147
91,DSM Nederland,deelnemers_actief,5629,5563
92,Ecolab,deelnemers_gepensioneerd,324,220
92,Ecolab,deelnemers_slapers,299,294
92,Ecolab,deelnemers_actief,30,101
93,Essity,deelnemers_totaal,3927,4052
93,Essity,deelnemers_gepensioneerd,946,1021
93,Essity,deelnemers_actief,1481,1539
95,Flexsecurity (Randstad),deelnemers_totaal,,233925
95,Flexsecurity (Randstad),deelnemers_slapers,,175730
95,Flexsecurity (Randstad),deelnemers_actief,,58195
97,Gasunie,deelnemers_totaal,4757,4936
97,Gasunie,deelnemers_slapers,746,759
97,Gasunie,deelnemers_actief,2273,2424
98,Gazelle,deelnemers_totaal,1740,1720
98,Gazelle,deelnemers_gepensioneerd,,377
98,Gazelle,deelnemers_slapers,,830
98,Gazelle,deelnemers_actief,,513
100,Geveke,deelnemers_totaal,1630,1572
100,Geveke,deelnemers_gepensioneerd,,883
100,Geveke,deelnemers_slapers,,689
103,HAL,deelnemers_totaal,1280,1223
103,HAL,deelnemers_slapers,,114
103,HAL,deelnemers_actief,,56
104,Haskoning DHV,deelnemers_totaal,16931,11292
104,Haskoning DHV,deelnemers_gepensioneerd,2062,2140
104,Haskoning DHV,deelnemers_slapers,5111,5257
104,Haskoning DHV,deelnemers_actief,9758,3895
105,Heineken,deelnemers_actief,3085,2971
106,Hoogovens,deelnemers_slapers,4199,4469
106,Hoogovens,deelnemers_actief,10301,9873
107,Huntsman Rozenburg,deelnemers_totaal,1654,1771
107,Huntsman Rozenburg,deelnemers_gepensioneerd,1287,1256
107,Huntsman Rozenburg,deelnemers_slapers,349,331
107,Huntsman Rozenburg,deelnemers_actief,18,184
110,KAS BANK,deelnemers_totaal,1864,1823
110,KAS BANK,deelnemers_slapers,1427,1383
110,KAS BANK,deelnemers_actief,25,26
111,KPN,deelnemers_gepensioneerd,24720,25498
111,KPN,deelnemers_slapers,36155,35265
111,KPN,deelnemers_actief,10952,10573
112,Lloyd's Register Nederland,deelnemers_totaal,1223,1225
112,Lloyd's Register Nederland,deelnemers_gepensioneerd,,288
112,Lloyd's Register Nederland,deelnemers_slapers,,591
112,Lloyd's Register Nederland,deelnemers_actief,,346
113,Mars,deelnemers_gepensioneerd,1389,1431
113,Mars,deelnemers_slapers,1468,1517
113,Mars,deelnemers_actief,1531,1557
115,Metro,deelnemers_totaal,8480,8283
115,Metro,deelnemers_gepensioneerd,2241,2314
115,Metro,deelnemers_slapers,6074,5827
115,Metro,deelnemers_actief,165,142
116,MSD,deelnemers_totaal,9846,12234
116,MSD,deelnemers_gepensioneerd,31,2387
116,MSD,deelnemers_slapers,5788,6216
116,MSD,deelnemers_actief,4027,3631
117,Nederlandse Bisdommen,deelnemers_totaal,2632,2559
117,Nederlandse Bisdommen,deelnemers_slapers,488,457
117,Nederlandse Bisdommen,deelnemers_actief,589,544
118,NN CDC,deelnemers_totaal,7727,12700
118,NN CDC,deelnemers_gepensioneerd,,1028
118,NN CDC,deelnemers_slapers,,11521
118,NN CDC,deelnemers_actief,,151
119,Philips,deelnemers_totaal,,88154
119,Philips,deelnemers_gepensioneerd,,45201
119,Philips,deelnemers_slapers,,31801
119,Philips,deelnemers_actief,,11152
120,Pon,deelnemers_totaal,10759,11157
120,Pon,deelnemers_gepensioneerd,,1303
120,Pon,deelnemers_slapers,,5479
120,Pon,deelnemers_actief,,4372
121,PostNL,deelnemers_gepensioneerd,36519,37867
121,PostNL,deelnemers_slapers,38657,37969
121,PostNL,deelnemers_actief,17734,17111
122,Provisum,deelnemers_totaal,9358,9239
122,Provisum,deelnemers_gepensioneerd,2978,3036
122,Provisum,deelnemers_slapers,4081,3924
124,Robeco,deelnemers_totaal,8868,3124
124,Robeco,deelnemers_gepensioneerd,8800,492
124,Robeco,deelnemers_slapers,23,1831
124,Robeco,deelnemers_actief,45,801
125,Rockwool,deelnemers_totaal,3219,3310
125,Rockwool,deelnemers_gepensioneerd,,1128
125,Rockwool,deelnemers_slapers,,976
125,Rockwool,deelnemers_actief,,1206
126,SABIC,deelnemers_gepensioneerd,2589,2746
126,SABIC,deelnemers_slapers,3345,3389
126,SABIC,deelnemers_actief,2868,2664
127,Sagittarius,deelnemers_totaal,6298,3305
127,Sagittarius,deelnemers_gepensioneerd,22,1676
127,Sagittarius,deelnemers_slapers,1271,1607
127,Sagittarius,deelnemers_actief,5005,22
128,Smurfit Kappa,deelnemers_totaal,6197,6301
128,Smurfit Kappa,deelnemers_gepensioneerd,1740,1841
128,Smurfit Kappa,deelnemers_slapers,2246,2285
128,Smurfit Kappa,deelnemers_actief,2211,2175
130,Sportfondsen,deelnemers_totaal,7826,8247
130,Sportfondsen,deelnemers_gepensioneerd,1499,1575
130,Sportfondsen,deelnemers_slapers,3252,3522
130,Sportfondsen,deelnemers_actief,3075,3150
133,TNO,deelnemers_totaal,18839,19249
133,TNO,deelnemers_gepensioneerd,5700,5875
133,TNO,deelnemers_actief,5819,6046
135,UWV,deelnemers_totaal,,61611
135,UWV,deelnemers_gepensioneerd,,18908
135,UWV,deelnemers_slapers,,18792
135,UWV,deelnemers_actief,,23911
136,Vopak,deelnemers_totaal,6126,6072
136,Vopak,deelnemers_gepensioneerd,,2744
136,Vopak,deelnemers_slapers,,2046
136,Vopak,deelnemers_actief,,1282
137,Witteveen+Bos,deelnemers_totaal,2586,2780
137,Witteveen+Bos,deelnemers_gepensioneerd,227,251
137,Witteveen+Bos,deelnemers_slapers,1041,1073
137,Witteveen+Bos,deelnemers_actief,1318,1456
158,IFF,deelnemers_totaal,,2852
158,IFF,deelnemers_gepensioneerd,,573
158,IFF,deelnemers_slapers,,1182
158,IFF,deelnemers_actief,,1097
163,Kring AFM (De Nationale),deelnemers_totaal,,1907
163,Kring AFM (De Nationale),deelnemers_gepensioneerd,,109
163,Kring AFM (De Nationale),deelnemers_slapers,,928
163,Kring AFM (De Nationale),deelnemers_actief,,870
164,Kring ANWB (De Nationale),deelnemers_totaal,6915,16167
164,Kring ANWB (De Nationale),deelnemers_gepensioneerd,,2935
164,Kring ANWB (De Nationale),deelnemers_slapers,,8857
164,Kring ANWB (De Nationale),deelnemers_actief,,4375
165,Kring Arcadis (Hnp),deelnemers_totaal,4925,9310
165,Kring Arcadis (Hnp),deelnemers_gepensioneerd,,2755
165,Kring Arcadis (Hnp),deelnemers_slapers,,4385
165,Kring Arcadis (Hnp),deelnemers_actief,,2170
166,Kring B (De Nationale),deelnemers_totaal,,4971
166,Kring B (De Nationale),deelnemers_gepensioneerd,,972
166,Kring B (De Nationale),deelnemers_slapers,,3385
166,Kring B (De Nationale),deelnemers_actief,,614
167,Kring CK1 (Hnp),deelnemers_totaal,2589,14121
167,Kring CK1 (Hnp),deelnemers_gepensioneerd,,603
167,Kring CK1 (Hnp),deelnemers_slapers,,11532
167,Kring CK1 (Hnp),deelnemers_actief,,1986
168,Kring D (De Nationale),deelnemers_totaal,,7115
168,Kring D (De Nationale),deelnemers_gepensioneerd,,1361
168,Kring D (De Nationale),deelnemers_slapers,,5729
168,Kring D (De Nationale),deelnemers_actief,,25
169,Kring A / AZL en Unisys (De Nationale),deelnemers_totaal,,3660
169,Kring A / AZL en Unisys (De Nationale),deelnemers_gepensioneerd,,1645
169,Kring A / AZL en Unisys (De Nationale),deelnemers_slapers,,1393
169,Kring A / AZL en Unisys (De Nationale),deelnemers_actief,,622
172,Kring Forward (Unilever),deelnemers_totaal,,6412
172,Kring Forward (Unilever),deelnemers_gepensioneerd,,483
172,Kring Forward (Unilever),deelnemers_slapers,,3544
172,Kring Forward (Unilever),deelnemers_actief,,2385
173,Kring McCain (De Nationale),deelnemers_totaal,923,1488
173,Kring McCain (De Nationale),deelnemers_gepensioneerd,,292
173,Kring McCain (De Nationale),deelnemers_slapers,,611
